name,total,count
"Demmer Corp",11200,1
"Island Doctors",11200,2
"Olney Bancshares of Texas                         ",11200,1
"Weglarz Co",11200,1
"JL Hubbard Insurance & Bonds                      ",11200,1
"Blue Basin Beef",11200,1
"SAS Institute",11200,2
"Cove Hill Partners",11200,1
"SGH Companies                                     ",11200,1
"Conference America",11200,1
"Johnson Machinery",11200,1
"Ndc Realty Inc of Florida",11200,1
"Ingram-Eve Inc",11200,1
"Digital Control Inc",11200,1
"303 Management",11200,1
"Capital Counsel",11200,1
"George Group                                      ",11200,1
"Forest River Inc",11200,1
"Nelson Irrigation",11200,1
"Watson Chevrolet",11200,1
"Safco Dental Supply",11200,1
"Thornburg Investment Management",11200,1
"Safety National Casualty Corp                     ",11200,1
"Mancherian Real Estate",11200,1
"American Patriot Group",11200,1
"Netgen Management LLC",11200,1
"Development Specialists Inc",11200,1
"Lasalle Medical Assoc",11200,1
Lifeyield,11200,2
"LG Everist Inc",11200,1
"Riester Corp",11200,1
"R&L Brosamer                                      ",11200,1
"Assemblies of God Bible Institute                 ",11200,1
Carfax,11200,1
"FH Petroleum                                      ",11200,1
"American Cruise Lines                             ",11200,1
"Raine Group",11200,2
"Kramer Design Group",11200,2
"Herzfeld & Rubin",11200,2
"Coastal Transportation",11200,1
"Concordance Academy",11200,1
"Pinegar Sales",11200,1
"High Meadows Foundation",11200,1
"Tate Development",11200,1
"Ranger Capital Management",11200,1
"Tcmi Inc                                          ",11200,1
"Phoenix American Insurance Group",11200,1
"Matthews International Capital",11200,2
"Wndrco LLC",11200,1
"TGS Management",11200,1
"HK Research",11200,1
"Mass General Hospital",11200,1
"Drury Development",11200,1
"Collins & Young",11200,1
"Health Care Information Systems",11200,1
"TC Jacoby & Co",11200,1
"TC Jacoby & Co                                    ",11200,1
"Linden Trust for Conservation",11200,2
"Kessler Group",11200,1
"Supplycore Inc                                    ",11200,1
"Wilson, Sonsini et al                   ",11200,1
"Blue Haven Initiative",11200,2
"Hendersen-Webb Inc",11200,1
"Hawk Hill Management Co",11200,2
"Truman Arnold Companies                           ",11200,1
"Westwood Contractors                              ",11200,1
"Asphalt & Fuel Supply",11200,1
"Clinton Reilly Holdings",11200,1
"Supply Chain Management Consultant                ",11200,1
"Guggenheim Partners",11200,1
"Quadric Group",11200,1
"Adventum Investments                              ",11200,1
"Haebert Management",11200,1
"Philips International",11200,1
"North Alabama Fabricating Co",11200,1
"Perkins Investment Management",11200,2
"Fritz Inc",11200,1
"Adams Robinson Enterprises",11200,1
"Textile Rubber & Chemical Co",11200,1
"Great Point Partners",11200,1
"Harbour Group",11200,2
"Pensare Acquisition Group",11200,1
Kykenkee,11200,1
"Crowncrest Consulting LLC",11200,1
"DJS Global Advisors",11200,1
"Rettner Management",11200,1
"Carson Family Charitable Trust",11200,2
"Harbert Management                                ",11200,1
"Horsley Construction                              ",11200,1
"Mt Vernon Investments",11200,1
"Woodvine Group",11200,1
"Holland Partners",11200,1
"Pz International Consulting",11200,1
"Burnett Ranches/Burnett Oil Co",11200,2
"Harry Miller Co",11200,1
"A10 Assoc",11200,2
"Entrepreneurial Corporate Group",11200,1
Strongwatch,11200,1
"Greg Manocherian Real Estate",11200,1
"Newmar Corp",11200,1
"Firebird USA LLC",11200,2
"Annandale Capital",11200,1
"Minneapolis Radiation Oncology",11200,1
"Lighting Efficiency & Design",11200,1
"English, Lloyd & Armenta",11200,1
"Promontory Financial Group",11200,1
"Max Capitol Group                                 ",11200,1
"Hogan Group",11200,2
"Rentpath LLC                                      ",11200,1
"Pet Flavors Inc",11200,1
"Lone Pine Capital",11200,2
"Feldman Auto",11200,1
"Magellan Midstream Partners",11189,1
"PPG Industries",11100,1
"Fennemore Craig PC",11100,1
"Krapf Bus Companies",11100,1
"Kings County Republican Central Cmte",11096,1
"R&R Realty",11050,1
"St George's Group",11050,1
"Fahr Beverage",11050,1
"Chicago Trading Co",11000,1
"Logan Bus Co",11000,1
"Bluff Point Assoc",11000,1
"Trendnet Inc",11000,2
"Tonio Burgos & Assoc",11000,2
"Associated General Contractors",11000,1
"Huntington Bancshares",11000,1
"Peirson & Patterson",11000,2
"Robertsons Ready Mix",11000,2
"Stern & Stern",11000,2
"American Rental Assn",11000,2
"Mountain Rose Herbs",11000,1
Nasdaq,11000,1
"Assael International",11000,1
"Carnival Cruise Lines",11000,1
"Thermal Engineering",11000,2
"Veterans Evaluation Services",11000,2
"Bradley, Arant et al",11000,1
"American Clinical Laboratory Assn",11000,2
"Barbara A Stiefel Foundation",11000,2
"Sabin Metal",11000,2
"Bachman Group",11000,2
"Maynard, Cooper & Gale",11000,1
"Florida International University",11000,2
"Haines & Kibblehouse",10950,1
"Richards, Layton & Finger",10900,1
"Poarch Band of Creek Indians",10900,2
"Geocent LLC",10900,1
"Full Sail",10900,2
"HV Collins Co",10900,1
"O'Donnell Law Offices",10850,1
"Northwest Permanente",10825,1
"Lenex Real Estate",10800,1
"New World Medical",10800,1
"Bailey Glen",10800,1
"KSL Capital Partners",10800,1
"Levin, Fishbein et al                   ",10800,1
"Lf Holdings",10800,1
"Maund Auto Group",10800,1
"Koch Agronomic Services",10800,1
"ACI Jet",10800,1
"Mohawk Industries",10800,1
"Kendall Hunt Publishing",10800,1
"Concast Metal Products",10800,1
"Kavlick Enterprises",10800,1
Lihc,10800,1
"Mark Development",10800,1
"Kyes Insurance",10800,1
"Milestone Energy",10800,1
"LHD & Assoc",10800,1
"Midtown Equities",10800,1
"Kablelink Communications",10800,1
"Louis Macey Investments",10800,1
"Wildhorse Resources",10800,1
"Bluewater International",10800,1
"Bluestem Asset Management",10800,1
"Nautic Partners",10800,1
"Landair Inc",10800,1
"Construction Trucking",10800,1
"360 Networks",10800,1
"Lucas Oil Products",10800,1
"Benderson Development                             ",10800,1
"Lynch Livestock",10800,1
"Laura & John Arnold Foundation",10800,1
"Laverty Lognes",10800,1
"Makena Capital Management",10800,1
"Cm Wealth Advisors                                ",10800,1
"Bernard Financial Group",10800,1
"Eagle Aluminum Cast Products",10800,1
"Armour Capital Management",10800,1
"Viaero Wireless                                   ",10800,1
"Fairfield & Woods",10800,1
"Analysis & Measurement Services",10800,1
"FUTEK Advanced Sensor Technology",10800,1
"Wallace Electrical Systems",10800,1
"DPS Telecom",10800,1
"Signal Hill Petroleum",10800,1
"Heinle & Assoc",10800,1
"Heartland Dental Care                             ",10800,1
"Peterson Intl Underwriting                        ",10800,1
"Dpc Companies",10800,1
"Daily Court Review",10800,1
"Act for Entertainment",10800,1
"Twiford Farms",10800,1
"Overwatch Enterprises",10800,1
"Apex Covantage",10800,1
"Taste of Texas Restaurant",10800,1
"I-Comm Connect",10800,1
"Platte River Ventures                             ",10800,1
"Aquafor                                           ",10800,1
"Henning Group",10800,1
"Peter G Peterson Foundation",10800,1
"Fona International",10800,1
"Foundry Group",10800,1
"Peiffer Wolf Carr & Kane",10800,1
"Dominion Capital",10800,1
"Singh Semiconductors",10800,2
"Howard Industrial Partners",10800,1
"American Development Corp",10800,1
"Virginia Cancer Institute",10800,1
"Development Services LLC",10800,1
"Business Consultant/Greg Gianforte",10800,1
"Arbiter Partners",10800,1
"Rubber City Arches                                ",10800,1
"Sedgwick Inc",10800,1
"Farrell-Roeh Group",10800,1
"Varney Agency",10800,1
"Rosebud Mining",10800,1
"Sella Dev                                         ",10800,1
"Brightstar LLC",10800,1
Touro,10800,1
"Am Fund",10800,1
"Robert Mayer",10800,1
"Jacobs Asset Management",10800,1
"Norwood Development",10800,1
"Primus Technologies",10800,1
"Cyr Bus Lines",10800,1
"EJ Leizerman & Assoc",10800,1
"Edge Fund Advisors",10800,1
"Graham Companies",10800,1
"Oak Ridge National Laboratory",10800,1
"Oberer Companies",10800,1
"Brickstreet Insurance",10800,1
"Santa Clarita Concrete",10800,1
"Centra Inc",10800,1
"Van Wagner Communications                         ",10800,1
"GA Wright Marketing Inc",10800,1
"Haworth Inc                                       ",10800,1
"Futurevision Ltd",10800,1
"Antero Resources",10800,1
"Three Amigos Auto Ctr",10800,1
"Cdmg Inc",10800,1
"Rapaport Diamonds",10800,1
"Seventh Amendment",10800,1
"Amber Mountain",10800,1
"Gothic Landscape Inc",10800,1
"Randle Communications",10800,1
"Harborlight Holdings LLC",10800,1
"Magnolia Oil & Gas",10799,1
"Torchmark Corp",10750,1
"Pioneer Natural Resources",10750,1
"Texas Capital Bank",10708,2
"Kumar Family LP",10700,1
"Management Services Corp",10700,1
"Los Alamos National Laboratory",10635,1
"Arsh Investments",10600,1
"Dart Transit",10600,1
"Scotts Miracle-Gro",10600,1
"Fay Law Group",10600,1
"RJ Machine Co",10600,1
"Captive-Aire Inc",10600,1
"Falconite Real Estate Holdings LLC",10598,1
"Davidoff, Hutcher & Citron",10552,1
"Chambliss, Bahner & Stophel",10530,1
"AON Corp",10525,1
"Belvoir Properties",10500,1
"American Pistachio Growers",10500,2
"International Dairy Foods Assn",10500,2
"Plains Cotton Growers",10500,2
"Invacare Corp",10500,1
"Association of US Postal Lessors",10500,2
"Association for Advanced Life Underwriting",10500,2
"Smith, Dawson & Andrews",10500,1
"BWX Technologies",10500,3
"Salvi, Schostok & Pritchard                       ",10417,1
"4Life Research",10400,1
"Colsa Corp",10400,1
"Pepper Hamilton LLP",10400,1
"Standard Golf",10400,1
"Consumer Technology Assn",10400,2
"Pacific Fundraising Strategies",10395,1
"Pointer Management",10310,1
"American Suburban Utilities",10300,1
"Eberhard Roofing",10300,1
"Baker, Donelson et al                   ",10294,1
"Fragomen, Del Rey et al",10250,2
"Portzen Construction",10250,1
"Petro-Hunt LLC",10100,1
"Williams Homes",10100,1
"Cory 2020",10075,2
"Livingston Group",10064,2
"Dykema Gossett",10010,2
MURPHPAC,10000,1
"Roche Diagnostics",10000,2
"Mid-Sized Bank Coalition",10000,1
"Worldpay Inc",10000,1
"Midwest Values PAC",10000,2
"Give Me Liberty PAC",10000,1
"Urology Assoc of Central Californ",10000,1
"CSL Behring",10000,2
"Methuselah Advisors",10000,1
"Lank PAC",10000,1
"Urology of Central Pennsylvania",10000,1
"Great Lakes PAC",10000,1
GOPAC,10000,1
"Amedisys Inc",10000,1
"Equipment Leasing & Finance Assn",10000,2
"America Works",10000,1
"Climate Champions PAC",10000,1
"Employee-Owned S Corporations of America",10000,2
"Classic Auto Group",10000,1
"21st Century Majority Fund",10000,1
"Treasure State PAC",10000,1
"Transportation Intermediaries Assn",10000,1
"Shah & Assoc",10000,1
"Zurich Insurance",10000,2
"Edward G Sawyer Co",10000,1
"Thunderbolt PAC",10000,1
"Making Investments Majority Insured PAC",10000,1
"TransUnion LLC",10000,2
"Cb Utility Co",10000,1
"Total Military Management",10000,2
"Synchrony Financial",10000,2
"Lobo PAC",10000,1
"SunTrust Banks/Georgia",10000,2
"Yorktown Partners",10000,1
"American Society for Radiation Oncology",10000,2
"Fund for American Exceptionalism",10000,1
"Albanian American PAC",10000,1
"California Waste Solutions",10000,1
"Blue Dog PAC",10000,2
"All for Our Country",10000,1
"Digital Canal Corp",10000,1
"United Postmasters & Managers of America",10000,2
"American Investment Council",10000,2
"American Institute of Architects",10000,2
"Financial Service Centers of America",10000,1
"Lincoln Club of Orange County",10000,1
"Linde North America",10000,1
"Card & Assoc",10000,1
"American Communications Network",10000,1
"VSP Global",10000,2
"Pioneer Natural Resources USA",10000,1
"International Game Technology",10000,1
"Jobs, Freedom & Security PAC",10000,2
"Border Health",10000,1
"Nebraska Sandhills PAC",10000,1
"Invesco Ltd",10000,1
"Pan Am Equities",10000,1
"Ocean Spray Cranberries",10000,1
"Having Unwavering Resolve & Determination",10000,1
"NAIOP Commercial Real Estate Devel Assn",10000,2
"Prairie PAC",10000,1
"Wakefern Food",10000,1
"Chubb Group of Insurance Companies",10000,2
"Otoe Missouria Tribe of Indians",10000,1
"Common Ground PAC",10000,1
"Narragansett Bay PAC",10000,1
Infor,10000,1
"DNC PAC",10000,1
"National Potato Council",10000,2
"Plumbers/Pipefitters Union Local 9",10000,1
"Plumbers/Pipefitters Union Local 447",10000,2
"National Assn of Enrolled Agents",10000,1
OrrinPAC,10000,1
"Innovative Defense Technologies",10000,1
"National HealthCare Corp",10000,1
"Operating Engineers Local 15",10000,1
"National Assn of Vision Care Plans",10000,2
"Herman Kay Co",10000,1
"Holiday Companies",10000,1
"Hindu American PAC",10000,1
"Operating Engineers Local 49",10000,2
"Page Interworks PA",10000,1
"Virginia Urology Centers",10000,1
"Bealls Inc",10000,1
"Ad Alliance",10000,1
GuideWell,10000,2
"Novocure Inc",10000,1
"Gulf States Toyota",10000,2
Argentum,10000,1
"ROSKAM PAC",10000,1
"Women's Political Cmte",10000,1
"Nomura Holding America",10000,1
"BBVA USA",10000,2
"Covanta Energy Corp",10000,1
"Brave PAC",10000,1
"Nutmeg PAC",10000,1
"Varian Medical Systems",10000,1
"Next Century Fund",10000,1
"Jetblue Airways",10000,1
"Michigan Institute of Urology",9825,1
"Fairfax County, VA",9818,1
Thegroup,9800,1
"War Admiral Place LLC",9600,1
"Martin Sprocket & Gear",9500,1
"Brotherhood of Railroad Signalmen",9500,3
"Gladstone Management",9500,1
"International Longshore/Warehouse Union",9500,3
"Minnesota Urology",9480,1
"LDI Ltd",9400,1
"Jcb Inc",9400,2
"Nutramax Laboratories",9400,1
"Shutters & Blinds",9400,1
"Cassidy & Assoc",9250,2
"Heavy Construction Systems Specialists",9200,2
"Protection Strategies Inc",9200,1
"Lupin Pharmaceuticals",9000,1
"Page Auto Group",9000,1
"Petroleum Marketers Assn",9000,3
"Urology of Virginia",8990,1
NASCAR,8934,1
"Pachulski, Stang et al",8900,2
"Consolidated Nuclear Security",8850,1
"Davidson Technologies",8800,2
"Mahaffey Enterprises",8800,1
"South College                                     ",8800,1
"National Development",8750,1
"Huizenga Capital Management",8700,1
"Mar-Bal Inc",8700,1
"Meadows Bee Farm",8600,1
"Ciardi, Ciardi & Astin",8550,1
"National Assn of Truck Stop Operators",8500,3
"Granite Construction",8500,2
"Renal Physicians Assn",8500,2
"Blue Cross/Blue Shield of South Carolina",8500,2
"National Federation of Independent Business",8500,2
"FMR Corp",8500,3
"Consumers Energy",8500,1
"International Alliance Theatrical Stage Employees",8500,2
"US Postal Service",8410,1
"S&A Homes",8407,1
"Young & McCarthy",8400,1
"Burrtec Waste Industries",8400,1
"Arc Relocation",8400,1
Arc,8400,1
"Gibco Construction                                ",8400,1
"Outreach Strategists LLC",8400,1
"Pack Automotive Group",8400,1
"KPS Capital Partners",8400,2
"Anapol Weiss",8400,1
"Latham & Watkins                                  ",8400,1
"Sares-Regis Group",8400,1
"Schall Law Firm",8400,2
"Pollard Lumber",8400,1
"Willoughby & Hoefer",8400,1
"Hunt Companies",8400,1
"Trail Creek Investments",8400,1
"Ripple Labs",8400,2
"ANB Cattle Co",8400,1
"Alsop Louie Partners",8400,2
Nextwavebio,8360,1
OrthoIndy,8350,1
"Trans-Global Solutions",8331,1
"McColly Real Estate",8300,1
"Elgin Toyota",8300,1
"Sowell Co",8300,1
"Luther King Capital Management",8300,1
"Riceland Healthcare",8300,1
"Kraft Group",8300,1
"Daniels Manufacturing",8300,2
"Research Affiliates LLC",8300,2
"Heritage Title Co of Austin",8300,1
"Magnum Magnetics",8200,1
"Central Indiana Orthopedics",8200,1
"Sawyer Products",8200,1
"Mirram Group",8200,1
"Prairie Island Tribal Council",8200,1
"Shakopee Mdewakanton Sioux Community",8200,2
"Constellation Brands                    ",8200,1
"Terrell Hogan",8200,1
"Ice Miller Whiteboard",8200,1
"Hunt Pacific Management",8200,1
"Charlotte Pipe & Foundry",8150,1
"Am General Corp",8125,1
"McLane Group",8100,1
"Titan Capital Group",8100,1
"Pace-O-Matic Inc",8100,1
"Supply Source",8100,1
"Minneapolis School System",8100,2
"Rakoczy, Molino et al                   ",8100,1
"Rockford Anesthesiology Assoc",8100,1
"Aston Properties",8100,1
"Top Sales",8100,1
"Puyallup Tribe of Indians",8100,2
"Worldwide Equipment",8100,1
"Short Strategy Group",8100,1
"Wolters Kluwer",8100,1
"Park Square Capital LLP                           ",8100,1
"White Lodging Services",8100,1
"Sbgi LLC",8100,1
Pca,8100,1
"Vecellio Group",8100,1
"Three Rivers Beverages                            ",8100,1
"Triwest Healthcare Alliance",8100,2
"Solil Management",8100,2
"Associated Agencies Inc",8100,1
"Poettker Construction",8100,1
"Press Ganey Assoc",8100,1
"Classic Wines",8100,1
"Consero Group",8100,1
"CM Tucker Lumber Companies LLC",8100,1
"Longview Country Club",8100,1
"Headsight Inc",8100,1
"Crosby Tugs",8100,1
"Cm Tucker Lumber Companies",8100,1
"Capitol Strategies Group",8100,2
"Davis-Lynch Inc",8100,1
"Hendrick Motorsports",8100,1
"Democrats Reshaping America",8100,1
"Ek, Sunkin et al",8100,1
"Franklin American Mortgage",8100,1
"Esd Design",8100,1
"Cole Automotive Group",8100,1
"Imagenet LLC",8100,1
"Imp Corp",8100,1
"University of California/Berkeley",8062,1
"State of Georgia",8000,2
"National Assn of Wheat Growers",8000,1
"University of California/San Francisco",8000,1
"Allegiant Travel Co",8000,2
"United Radio",8000,1
"Pinnacle PAC",8000,1
"Sunovion Pharmaceuticals",8000,3
"Best Buy",8000,3
"Peck Madigan Jones",8000,1
"Forrence Orchards",8000,1
"Scalise for Congress",8000,2
"Kline Construction",7936,1
"Affinity Living Group",7900,1
"Aveda Fredric's Institute",7900,1
"Houston Metro Urology",7900,1
"C&A Marketing",7900,1
"Carnival Corp",7900,2
"Sunkist Growers",7800,1
"Triple B Ranch",7800,1
"Operating Engineers Union Local 139",7800,1
"Outdoor Research",7800,1
"JTM Provisions",7800,1
"Lowe's Companies                                  ",7750,1
"Mohegan Tribe",7700,2
"Cgcn Group",7700,1
"Clean Energy Fuels Corp",7700,1
"Flagstar Bank",7700,2
"Penn National Gaming",7700,1
"Anderson Construction",7700,1
"Carolina Urology Partners",7650,1
"John Stewart Co",7618,1
"Spectra Tech",7600,1
"Doyle New York",7600,1
"Stowers Machinery",7600,2
"Alro Steel",7600,1
"Bass Pro Shops",7600,1
"Koch Enterprises",7600,1
"Sullivan Interests",7600,2
"Michael Torrey Assoc",7550,1
WinRed,7550,1
GlaxoSmithKline,7510,2
"Outdoor Amusement Business Assn",7500,2
"Meredith Corp",7500,1
Ucor,7500,1
"Ullico Inc",7500,1
"Insulators Union",7500,2
"Hexcel Corp",7500,1
"Wayne Minor Motor Sports",7500,1
"Ingram Barge Co",7500,1
"Livestock Marketing Assn",7500,1
"Council for Responsible Nutrition",7500,1
"US Israel PAC",7500,1
"Briar Hill Management",7500,1
"Celanese Corp",7500,2
"Abraham Lincoln PAC",7500,1
"eBay Inc",7500,2
"Fox Corp",7500,2
"Nextlevel Health Partners",7500,1
"Food Marketing Institute",7500,2
"Assurant Inc",7500,1
"Global Business Travel Assn",7500,1
"National Council for Behavioral Health",7500,1
Biogen,7500,1
"National Assn of Postal Supervisors",7500,1
"National Assn of Landscape Professionals",7500,2
"National Assn for Behavioral Healthcare",7500,2
"Grant County Schools",7500,1
"Commercial Real Estate Finance Council",7500,2
Posillico,7500,1
"Community Financial Services Assn",7500,2
"Cedar Realty LLC",7500,1
"Perry Ellis International",7500,1
"Associated Equipment Distributors",7500,2
ASCAP,7500,2
"Ion Media Networks",7500,2
"Ocean Shipholdings",7500,1
"O'Neill & Assoc",7500,1
"Mosaic Co",7500,2
"Beam Suntory",7500,2
"EMD Serono Inc",7500,2
"E&J Gallo Winery",7500,1
"Dept of Children & Family Services",7400,1
"Highfields Capital",7400,1
"Modmansions LLC",7400,1
"Golden Gate Urology",7200,1
"Bartlit, Beck et al",7200,1
"HNTB Holdings",7200,1
"Massachusetts General Hospital",7175,1
"USA Farm Worker PAC",7000,1
"Urological Assoc of Southern Ariz",7000,1
"Victory in November Election PAC",7000,1
"Nustar Energy",7000,1
"Outdoor Venture Corp",7000,1
"Outdoor Advertising Assn of America",7000,1
"Enerfab Inc",7000,1
"Technology Research & Innovation PAC",7000,1
"Paul Hastings LLP",7000,1
"Quality Distribution",7000,1
"Lincoln Property",6900,1
"Burk Royalty",6900,1
"Huneeus Winery",6900,1
"Old Dominion Freight Line",6800,1
Kratos,6800,1
"Hartford Financial Services",6750,1
"Timothy R Rupli & Assoc",6750,1
"University of Nevada/Las Vegas",6715,1
"University of California/Los Angeles    ",6715,1
"Much Shelist PC",6700,1
"Duane Morris LLP",6700,1
"Mark Construction Services",6700,1
"Penn State Hershey Medical Center",6700,1
"Nathanson & Hauck",6700,2
"Tofte Management LLC",6650,1
"University of California",6643,1
"Wachtell, Lipton et al                  ",6625,1
"Russ Darrow Group",6600,1
"Dalton Investments",6600,1
"Highfields Capital Management",6600,1
"Rowan University",6600,1
"Cannon Pharmacy",6600,1
"Peoples National Bank",6600,1
"Varischetti & Sons",6600,1
"Cambridge Assoc",6600,1
"Gross Builders",6600,1
"IDLF Solutions",6600,1
"Pegasystems Inc",6600,1
"Rockwood Capital",6600,1
"BQE Software",6550,1
"Another Planet Entertainment",6500,1
"Southeast Milk",6500,2
"Urological Surgeons of Northern Califo",6500,1
"Engel Burman Group",6500,1
"National Assn of Mortgage Brokers",6500,1
"Lone Rock Timber",6450,1
"Edible Arrangements",6405,1
"Kane Realty",6400,1
"AMS Group",6400,1
"Morris Communications",6400,1
"Collins Engineers",6400,1
"Haggard Law Firm",6400,1
"Cornell University",6370,1
"Katten Muchin Rosenman LLP",6350,1
"Hanson Professional Services",6325,1
"Jeff PAC",6309,1
"Capitol City Group",6300,1
"Veterans Administration",6300,1
"BMO Financial Corp",6300,1
"Urban Renaissance Group",6250,1
"Titan Farms LLC",6250,1
"Olsson, Frank et al",6200,1
"Workday Inc",6150,1
"Allen Pritchett & Bassett LLP",6100,1
"Munger, Tolles & Olson",6100,1
"RW Allen LLC",6100,1
"Simmons First National Bank                       ",6100,1
"Donoho Insurance Agency",6100,1
"Mustang Cat",6100,1
"Myers Ventures",6099,1
"Creighton University",6082,1
"GHG Corp",6025,3
"Pharmaceutical Research & Manufacturers Of America",6000,1
"Tindall Corp",6000,1
"National Assn of Dental Plans",6000,1
"Stockyards Hotel",6000,1
"Loop Capital Markets",6000,1
"Bill Miller Engineering",6000,1
"Thermo Fisher Scientific",6000,2
"Beacon Health Options",6000,1
"Off the Sidelines",6000,2
"Great America PAC",6000,1
"City PAC",6000,1
"Mortgage Guaranty Insurance Corp",6000,2
"Brady PAC",6000,1
"America's Health Insurance Plans",6000,1
"National Confectioners Assn",6000,2
"American Frozen Food Institute",6000,1
"Barclays Group US",6000,1
"Empire Office",6000,1
PeopleForBikes,6000,1
"Allergy Ashma Resp Care",6000,1
"Locke Lord LLP",6000,2
"Geeks & Nerds",6000,1
"National Postal Mail Handlers Union",6000,2
"American Road & Transport Builders Assn",6000,1
"Planned Parenthood",6000,1
"US Cellular",6000,2
"Johnson Controls",6000,2
"Future Forum PAC",6000,1
"Oshkosh Defense",6000,1
"Amarillo National Bank",5975,1
"Dinsmore & Shohl",5950,1
"City of Rochester, NY",5925,1
"Key Investments",5900,1
"Vichara Technologies",5900,1
"Cbre Inc",5875,1
"Synergy Radiology Assoc",5875,1
"State of Nevada",5850,1
"Keller Rohrback",5850,1
"Grainger Honda",5850,1
"Jamestown S'Klallam Tribe",5850,1
"Franklin D Azar & Assoc",5850,1
"Jeffer Mangels Butler & Mitchell Llp",5850,1
"Cadwalader, Wickersham & Taft",5800,1
"Home Budget Loans",5800,1
Taxslayer,5800,1
"Illinois Corn Growers Assn",5750,1
"Obernagel Farms",5750,1
"MasterCard Inc",5750,1
"West Augusta Obgyn",5750,1
"Roswell Artist In Residence Foundation            ",5750,1
"Keating, Muething & Klekamp",5700,1
"Robinson & McElwee",5700,1
"West Virginia University",5700,1
"Home Creations",5700,1
"Underground Devices",5700,1
"Capitol Tax Partners",5700,1
"Casamigos Spirits Co",5667,1
"Ryan Costello for Congress",5600,1
"Penstar Group",5600,1
"Cair Foundation",5600,1
"Rocky Fitness",5600,1
"Pearl Therapeutics",5600,1
"Glbruno Assoc",5600,1
"Cajun Industries",5600,1
"Patten & Patten",5600,1
"Sazava Partners LLC",5600,1
Ggamllc,5600,1
"Horowitz Brothers",5600,1
"Robson Co",5600,1
"Sazingg Co",5600,1
"Hooper, Lundy & Bookman",5600,1
"Patriotic Millionaires",5600,1
"Amplyx Pharmaceuticals",5600,1
Penstargroup,5600,1
"Russell Stover Candies",5600,1
"Andrew Goodman Foundation",5600,1
"Andrews Distributing",5600,1
"Grain Management LLC",5600,1
"Global Petroleum",5600,1
"MS Management Corp",5600,1
"Schmidt Family Foundation",5600,1
"Riverside Partners",5600,1
"Schneider Consulting Group",5600,1
"Roismanheneladams Llp",5600,1
"Hospitality Investment Group",5600,1
Gmr,5600,1
"Cafaro Co",5600,1
"Patterson Planning & Services",5600,1
"CTR Partners LLC",5600,1
"STV Group",5600,1
"Saban Capital Group",5600,1
"Gold Coast Florida Regional Center",5600,1
"Gold Coast Holdings",5600,1
"Sabin Commodities",5600,1
"Rosenbloom Entertainment",5600,1
"Georgia Center for Reproductive Medici",5600,1
"George E Warren Corp                              ",5600,1
"Route One Investment",5600,1
"Gensco Inc",5600,1
"Royal Business Bank",5600,1
"Rosen Partners",5600,1
"Anchor Stone",5600,1
Genesys,5600,1
"Genesis Corp",5600,1
"Global Infrastructure Management",5600,1
"San Joaquin River Ranch LLC",5600,1
"Sandhills Publishing",5600,1
"Hoover Tactical",5600,1
Glassview,5600,1
"Hotel Indigo",5600,1
"Golden Grove",5600,1
"Goldenberg Group",5600,1
"Sara Cecala Photography",5600,1
"Roll Global",5600,1
"Poplicus Inc",5600,1
"Real Estate Developer-Apartments",5600,1
"Peoples Bank",5600,1
"Arizona Dermatopathology",5600,1
"Professional Eye Care",5600,1
"Pilot House Assoc",5600,1
"High Speed Productions",5600,1
"Hart Group",5600,1
"Pilot Corp",5600,1
"Progress Investment Management Co",5600,1
Progrx,5600,1
"Projection Inc",5600,1
"Projects Unlimited",5600,1
"Harley Davidson of Greensboro",5600,1
"Psalms 127 LLC",5600,1
"Professional Actress",5600,1
"Highland Baking",5600,1
"Phillips Lytle LLP",5600,1
"Psp Capital",5600,1
"Phd Researcher",5600,1
"Arch Venture Partners",5600,1
"Arc of the US",5600,1
"Pyott Co",5600,1
"Q Prime Inc",5600,1
"CAST Real Estate Holdings",5600,1
"Quality Built Homes",5600,1
"Armstrong Bank",5600,1
"Hico Seeds                                        ",5600,1
"Riveron Surgical LLC",5600,1
"Ashai Design",5600,1
"Health Center At Standifer Place",5600,1
"Butler Automotive Group",5600,1
"Post Rock Advisors",5600,1
Postmates,5600,1
"Health & Wellness Consultant",5600,1
"Powers Strategies LLC",5600,1
"Healthmark Ventures",5600,1
"Point Ruston LLC",5600,1
"Ascension Marketing Group",5600,1
"Helmsley Charitable Trust",5600,1
"Precision Orthopedics",5600,1
"Hart Health Strategies",5600,1
"Hendrick Automotive Group",5600,1
"Premier Properties",5600,1
"Harvey Gulf International Marine",5600,1
"Harvest Bible Church",5600,1
"Prime Property",5600,1
"Private Equity Partners",5600,1
"Privia Medical Group North Texas",5600,1
"Herb Realty",5600,1
"Procaccianti Companies",5600,1
"Hercules Pharmaceuticals",5600,1
"CBS Corp",5600,1
"Habitat Co",5600,1
"Quinault Indian Nation",5600,1
"Burke & Herbert Bank",5600,1
"Hohlt Group",5600,1
"Greenheck Corp",5600,1
Related,5600,1
"Holekamp Capital",5600,1
"Green Maple Law Group",5600,1
"Rentals Unlimited",5600,1
"Perlbinder Realty Co",5600,1
"Reschini Group",5600,1
"Resource & Land Consultant                        ",5600,1
"Hometown Lenders",5600,1
"Gray Analytics",5600,1
"Haas Automation",5600,1
"Rhoda Group",5600,1
Riceland,5600,1
"Richard Childress Racing",5600,1
"Richards & Assoc",5600,1
