donation_number,donor,legislator,amount,releasedate
5701,"American Bankers Assn",N00029662,5000,"2019-10-16 00:00:00 +0000"
5702,"American Society of Anesthesiologists",N00029662,5000,"2019-10-16 00:00:00 +0000"
5703,"Fitzgerald Glider Kits",N00029662,5000,"2019-10-16 00:00:00 +0000"
5704,"House Freedom Fund",N00029662,5000,"2019-10-16 00:00:00 +0000"
5705,"International Speedway",N00029662,5000,"2019-10-16 00:00:00 +0000"
5706,"Jacobs Engineering Group",N00029662,5000,"2019-10-16 00:00:00 +0000"
5707,"UBS Americas",N00029662,5000,"2019-10-16 00:00:00 +0000"
5708,"Boeing Co",N00029662,4800,"2019-10-16 00:00:00 +0000"
5709,"Remi Properties",N00029662,4000,"2019-10-16 00:00:00 +0000"
5710,"American Assn/Oral & Maxillofacial Surg",N00029662,3000,"2019-10-16 00:00:00 +0000"
5711,"Friends of Bill Posey",N00029662,3000,"2019-10-16 00:00:00 +0000"
5712,"Lockheed Martin",N00029662,3000,"2019-10-16 00:00:00 +0000"
5713,"National Air Traffic Controllers Assn",N00029662,3000,"2019-10-16 00:00:00 +0000"
5714,"Duke University",N00002260,11155,"2019-10-16 00:00:00 +0000"
5715,"SAS Institute",N00002260,5600,"2019-10-16 00:00:00 +0000"
5716,"National Air Traffic Controllers Assn",N00002260,5500,"2019-10-16 00:00:00 +0000"
5717,"Aircraft Owners & Pilots Assn",N00002260,5000,"2019-10-16 00:00:00 +0000"
5718,"American Federation of Teachers",N00002260,5000,"2019-10-16 00:00:00 +0000"
5719,"American Maritime Officers",N00002260,5000,"2019-10-16 00:00:00 +0000"
5720,"Deloitte LLP",N00002260,5000,"2019-10-16 00:00:00 +0000"
5721,"Delta Air Lines",N00002260,5000,"2019-10-16 00:00:00 +0000"
5722,"Honeywell International",N00002260,5000,"2019-10-16 00:00:00 +0000"
5723,"Machinists/Aerospace Workers Union",N00002260,5000,"2019-10-16 00:00:00 +0000"
5724,"Marine Engineers Beneficial Assn/Dist 1",N00002260,5000,"2019-10-16 00:00:00 +0000"
5725,"Masters, Mates & Pilots Union",N00002260,5000,"2019-10-16 00:00:00 +0000"
5726,"Norfolk Southern",N00002260,5000,"2019-10-16 00:00:00 +0000"
5727,"Operating Engineers Union",N00002260,5000,"2019-10-16 00:00:00 +0000"
5728,"Seafarers International Union",N00002260,5000,"2019-10-16 00:00:00 +0000"
5729,"SMART Transportation Division",N00002260,5000,"2019-10-16 00:00:00 +0000"
5730,"University of North Carolina/Chapel Hill",N00002260,4200,"2019-10-16 00:00:00 +0000"
5731,"American Federation of State/Cnty/Munic Employees",N00002260,4000,"2019-10-16 00:00:00 +0000"
5732,"Allied Pilots Assn",N00002260,3500,"2019-10-16 00:00:00 +0000"
5733,"Goodyear Tire & Rubber",N00002260,3000,"2019-10-16 00:00:00 +0000"
5734,"North Carolina Farm Bureau",N00002260,3000,"2019-10-16 00:00:00 +0000"
5735,"Professional Aviation Safety Specialists",N00002260,3000,"2019-10-16 00:00:00 +0000"
5736,"Mimedx Group",N00026160,21800,"2017-11-27 00:00:00 +0000"
5737,"Woodbranch Investments",N00026160,15000,"2017-11-27 00:00:00 +0000"
5738,"Resurgens Orthopaedics",N00026160,13750,"2017-11-27 00:00:00 +0000"
5739,"Peachtree Orthopaedic Clinic",N00026160,13000,"2017-11-27 00:00:00 +0000"
5740,"Georgia Power",N00026160,11500,"2017-11-27 00:00:00 +0000"
5741,"UBS Americas",N00026160,11500,"2017-11-27 00:00:00 +0000"
5742,"AFLAC Inc",N00026160,11000,"2017-11-27 00:00:00 +0000"
5743,"Coca-Cola Co",N00026160,11000,"2017-11-27 00:00:00 +0000"
5744,"Deloitte LLP",N00026160,11000,"2017-11-27 00:00:00 +0000"
5745,"Morgan Stanley",N00026160,11000,"2017-11-27 00:00:00 +0000"
5746,"Bernard Marcus Family Foundation",N00026160,10800,"2017-11-27 00:00:00 +0000"
5747,"Jackson Healthcare",N00026160,10800,"2017-11-27 00:00:00 +0000"
5748,"Peter G Peterson Foundation",N00026160,10800,"2017-11-27 00:00:00 +0000"
5749,"American Medical Assn",N00026160,10750,"2017-11-27 00:00:00 +0000"
5750,"Delta Air Lines",N00026160,10525,"2017-11-27 00:00:00 +0000"
5751,"Home Depot",N00026160,10500,"2017-11-27 00:00:00 +0000"
5752,"Yancey Brothers",N00026160,10400,"2017-11-27 00:00:00 +0000"
5753,"Massachusetts Mutual Life Insurance",N00026160,10250,"2017-11-27 00:00:00 +0000"
5754,"United Parcel Service",N00026160,10250,"2017-11-27 00:00:00 +0000"
5755,"Bank of America",N00026160,10200,"2017-11-27 00:00:00 +0000"
5756,"Grosvenor Capital Management",N00030581,11200,"2019-10-16 00:00:00 +0000"
5757,"Cooney & Conway",N00030581,7600,"2019-10-16 00:00:00 +0000"
5758,"Global Business Travel Assn",N00030581,7500,"2019-10-16 00:00:00 +0000"
5759,"PSP Partners",N00030581,5600,"2019-10-16 00:00:00 +0000"
5760,"Technology Crossover Ventures",N00030581,5600,"2019-10-16 00:00:00 +0000"
5761,"Adtalem Global Education",N00030581,5000,"2019-10-16 00:00:00 +0000"
5762,"Allstate Insurance",N00030581,5000,"2019-10-16 00:00:00 +0000"
5763,"American Federation of Teachers",N00030581,5000,"2019-10-16 00:00:00 +0000"
5764,"American Hotel & Lodging Assn",N00030581,5000,"2019-10-16 00:00:00 +0000"
5765,Anheuser-Busch,N00030581,5000,"2019-10-16 00:00:00 +0000"
5766,"AT&T Inc",N00030581,5000,"2019-10-16 00:00:00 +0000"
5767,"Caterpillar Inc",N00030581,5000,"2019-10-16 00:00:00 +0000"
5768,"Exelon Corp",N00030581,5000,"2019-10-16 00:00:00 +0000"
5769,Experian,N00030581,5000,"2019-10-16 00:00:00 +0000"
5770,"General Dynamics",N00030581,5000,"2019-10-16 00:00:00 +0000"
5771,"Home Depot",N00030581,5000,"2019-10-16 00:00:00 +0000"
5772,"Mortgage Bankers Assn",N00030581,5000,"2019-10-16 00:00:00 +0000"
5773,"National Assn of Broadcasters",N00030581,5000,"2019-10-16 00:00:00 +0000"
5774,"National Assn of Letter Carriers",N00030581,5000,"2019-10-16 00:00:00 +0000"
5775,"National Auto Dealers Assn",N00030581,5000,"2019-10-16 00:00:00 +0000"
5776,"Northrop Grumman",N00030581,5000,"2019-10-16 00:00:00 +0000"
5777,"Small Business Investor Alliance",N00030581,5000,"2019-10-16 00:00:00 +0000"
5778,"Teamsters Union",N00030581,5000,"2019-10-16 00:00:00 +0000"
5779,"UFCW Local 881",N00030581,5000,"2019-10-16 00:00:00 +0000"
5780,"Wine & Spirits Wholesalers of America",N00030581,5000,"2019-10-16 00:00:00 +0000"
5781,"Breakthru Beverage Group",N00030949,10500,"2019-10-16 00:00:00 +0000"
5782,"American Hotel & Lodging Assn",N00030949,10000,"2019-10-16 00:00:00 +0000"
5783,"L3 Technologies",N00030949,10000,"2019-10-16 00:00:00 +0000"
5784,"Bank of America",N00030949,9600,"2019-10-16 00:00:00 +0000"
5785,"Putnam Investments",N00030949,9120,"2019-10-16 00:00:00 +0000"
5786,"Show Me Institute",N00030949,8476,"2019-10-16 00:00:00 +0000"
5787,"Bernard Marcus Family Foundation",N00030949,7750,"2019-10-16 00:00:00 +0000"
5788,"Marathon Petroleum",N00030949,7500,"2019-10-16 00:00:00 +0000"
5789,"Aspect Holdings",N00030949,7154,"2019-10-16 00:00:00 +0000"
5790,"Trian Partners",N00030949,6100,"2019-10-16 00:00:00 +0000"
5791,"Corning Inc",N00030949,6000,"2019-10-16 00:00:00 +0000"
5792,"American Dnd",N00030949,5600,"2019-10-16 00:00:00 +0000"
5793,"Atlas Holdings",N00030949,5600,"2019-10-16 00:00:00 +0000"
5794,"Berkshire Partners",N00030949,5600,"2019-10-16 00:00:00 +0000"
5795,"Bk2 Holdings",N00030949,5600,"2019-10-16 00:00:00 +0000"
5796,"Bk2 Holdings LLC",N00030949,5600,"2019-10-16 00:00:00 +0000"
5797,"Craig Realty Group",N00030949,5600,"2019-10-16 00:00:00 +0000"
5798,"Elliott Management",N00030949,5600,"2019-10-16 00:00:00 +0000"
5799,"International Speedway",N00030949,5600,"2019-10-16 00:00:00 +0000"
5800,"Irving Moskowitz Foundation",N00030949,5600,"2019-10-16 00:00:00 +0000"
5801,"Minilec Service LLC",N00030949,5600,"2019-10-16 00:00:00 +0000"
5802,"Mountaire Corp",N00030949,5600,"2019-10-16 00:00:00 +0000"
5803,"Patrick P Lee Foundation",N00030949,5600,"2019-10-16 00:00:00 +0000"
5804,"Phillips Lytle LLP",N00030949,5600,"2019-10-16 00:00:00 +0000"
5805,"Raine Group",N00030949,5600,"2019-10-16 00:00:00 +0000"
5806,"Senegence International",N00030949,5600,"2019-10-16 00:00:00 +0000"
5807,"St Pauly Textile",N00030949,5600,"2019-10-16 00:00:00 +0000"
5808,"Welsh, Carson et al                     ",N00030949,5600,"2019-10-16 00:00:00 +0000"
5809,"Wheels Inc",N00030949,5600,"2019-10-16 00:00:00 +0000"
5810,USAA,N00026885,10000,"2019-06-10 00:00:00 +0000"
5811,"Microsoft Corp",N00026885,5500,"2019-06-10 00:00:00 +0000"
5812,"National Air Traffic Controllers Assn",N00026885,5500,"2019-06-10 00:00:00 +0000"
5813,"Weyerhaeuser Co",N00026885,5500,"2019-06-10 00:00:00 +0000"
5814,"American Institute of Architects",N00026885,5000,"2019-06-10 00:00:00 +0000"
5815,"Council of Insurance Agents & Brokers",N00026885,5000,"2019-06-10 00:00:00 +0000"
5816,"Intel Corp",N00026885,5000,"2019-06-10 00:00:00 +0000"
5817,"International Assn of Fire Fighters",N00026885,5000,"2019-06-10 00:00:00 +0000"
5818,"Laborers Union",N00026885,5000,"2019-06-10 00:00:00 +0000"
5819,"Making America Prosperous",N00026885,5000,"2019-06-10 00:00:00 +0000"
5820,"National Alliance of Forest Owners",N00026885,5000,"2019-06-10 00:00:00 +0000"
5821,"National Council of Textile Orgs",N00026885,5000,"2019-06-10 00:00:00 +0000"
5822,"National Electrical Contractors Assn",N00026885,5000,"2019-06-10 00:00:00 +0000"
5823,"Operating Engineers Union",N00026885,5000,"2019-06-10 00:00:00 +0000"
5824,"Prosperity Action",N00026885,5000,"2019-06-10 00:00:00 +0000"
5825,TIAA,N00026885,5000,"2019-06-10 00:00:00 +0000"
5826,"Tuesday Group PAC",N00026885,5000,"2019-06-10 00:00:00 +0000"
5827,"Paccar Inc",N00026885,4200,"2019-06-10 00:00:00 +0000"
5828,"Amgen Inc",N00026885,3500,"2019-06-10 00:00:00 +0000"
5829,"Independent Community Bankers of America",N00026885,3500,"2019-06-10 00:00:00 +0000"
5830,"National Beer Wholesalers Assn",N00026885,3500,"2019-06-10 00:00:00 +0000"
5831,"National Federation of Independent Business",N00026885,3500,"2019-06-10 00:00:00 +0000"
5832,"Northwestern Mutual Life Insurance",N00026885,3500,"2019-06-10 00:00:00 +0000"
5833,"Jennmar Corp",N00031127,38050,"2019-06-10 00:00:00 +0000"
5834,"FirstEnergy Corp",N00031127,32400,"2019-06-10 00:00:00 +0000"
5835,"Charter Brokerage LLC",N00031127,22900,"2019-06-10 00:00:00 +0000"
5836,"US Government",N00031127,20936,"2019-06-10 00:00:00 +0000"
5837,"Advantage Direct Communication",N00031127,17141,"2019-06-10 00:00:00 +0000"
5838,"Timken Co",N00031127,16531,"2019-06-10 00:00:00 +0000"
5839,"JM Smucker Co",N00031127,15800,"2019-06-10 00:00:00 +0000"
5840,"Rpm International",N00031127,14100,"2019-06-10 00:00:00 +0000"
5841,"Ariel Corp",N00031127,14050,"2019-06-10 00:00:00 +0000"
5842,Ancora,N00031127,14000,"2019-06-10 00:00:00 +0000"
5843,"American Financial Group",N00031127,13950,"2019-06-10 00:00:00 +0000"
5844,"Alticor Inc",N00031127,13500,"2019-06-10 00:00:00 +0000"
5845,"Republican Party of Ohio",N00031127,12500,"2019-06-10 00:00:00 +0000"
5846,"Bernard Marcus Family Foundation",N00031127,10800,"2019-06-10 00:00:00 +0000"
5847,"Cm Wealth Advisors                                ",N00031127,10800,"2019-06-10 00:00:00 +0000"
5848,"Franklin Resources",N00031127,10800,"2019-06-10 00:00:00 +0000"
5849,"Rubber City Arches                                ",N00031127,10800,"2019-06-10 00:00:00 +0000"
5850,"Wallace Electrical Systems",N00031127,10800,"2019-06-10 00:00:00 +0000"
5851,"Invacare Corp",N00031127,10500,"2019-06-10 00:00:00 +0000"
5852,"Entertrainment Junction",N00031127,10400,"2019-06-10 00:00:00 +0000"
5853,"Fitzpatrick Enterprises",N00031127,10400,"2019-06-10 00:00:00 +0000"
5854,"Kimble Companies",N00031127,10400,"2019-06-10 00:00:00 +0000"
5855,"Ironworkers Union",N00030184,10000,"2019-10-16 00:00:00 +0000"
5856,"UNITE HERE",N00030184,10000,"2019-10-16 00:00:00 +0000"
5857,"Adams & Reese",N00030184,7750,"2019-10-16 00:00:00 +0000"
5858,"Home Depot",N00030184,7500,"2019-10-16 00:00:00 +0000"
5859,"JUUL Labs",N00030184,7500,"2019-10-16 00:00:00 +0000"
5860,"Textron Inc",N00030184,6000,"2019-10-16 00:00:00 +0000"
5861,"Hub International",N00030184,5600,"2019-10-16 00:00:00 +0000"
5862,"Livingston Group",N00030184,5600,"2019-10-16 00:00:00 +0000"
5863,"American Assn for Justice",N00030184,5000,"2019-10-16 00:00:00 +0000"
5864,"American Crystal Sugar",N00030184,5000,"2019-10-16 00:00:00 +0000"
5865,"American Federation of State/Cnty/Munic Employees",N00030184,5000,"2019-10-16 00:00:00 +0000"
5866,"American Sugar Cane League",N00030184,5000,"2019-10-16 00:00:00 +0000"
5867,"Capital One Financial",N00030184,5000,"2019-10-16 00:00:00 +0000"
5868,"Comcast Corp",N00030184,5000,"2019-10-16 00:00:00 +0000"
5869,"Cox Enterprises",N00030184,5000,"2019-10-16 00:00:00 +0000"
5870,"Ice Miller LLP",N00030184,5000,"2019-10-16 00:00:00 +0000"
5871,"Laborers Union",N00030184,5000,"2019-10-16 00:00:00 +0000"
5872,"Lowe's Companies",N00030184,5000,"2019-10-16 00:00:00 +0000"
5873,"Marathon Petroleum",N00030184,5000,"2019-10-16 00:00:00 +0000"
5874,"National Multifamily Housing Council",N00030184,5000,"2019-10-16 00:00:00 +0000"
5875,"National Rural Electric Cooperative Assn",N00030184,5000,"2019-10-16 00:00:00 +0000"
5876,"Operating Engineers Union",N00030184,5000,"2019-10-16 00:00:00 +0000"
5877,"Plumbers/Pipefitters Union",N00030184,5000,"2019-10-16 00:00:00 +0000"
5878,"Quicken Loans",N00030184,5000,"2019-10-16 00:00:00 +0000"
5879,"Seafarers International Union",N00030184,5000,"2019-10-16 00:00:00 +0000"
5880,"Sempra Energy",N00030184,5000,"2019-10-16 00:00:00 +0000"
5881,"Sheet Metal, Air, Rail & Transportation Union",N00030184,5000,"2019-10-16 00:00:00 +0000"
5882,"T-Mobile USA",N00030184,5000,"2019-10-16 00:00:00 +0000"
5883,"Walt Disney Co",N00030184,5000,"2019-10-16 00:00:00 +0000"
5884,"Arizona Diamondbacks",N00030768,11200,"2019-10-16 00:00:00 +0000"
5885,"Building Leadership & Inspiring New Enterprise",N00030768,10000,"2019-10-16 00:00:00 +0000"
5886,"Deloitte LLP",N00030768,10000,"2019-10-16 00:00:00 +0000"
5887,"AT&T Inc",N00030768,7500,"2019-10-16 00:00:00 +0000"
5888,PricewaterhouseCoopers,N00030768,7500,"2019-10-16 00:00:00 +0000"
5889,"Charles Schwab Corp",N00030768,5600,"2019-10-16 00:00:00 +0000"
5890,"Hunt Consolidated",N00030768,5600,"2019-10-16 00:00:00 +0000"
5891,"American Bankers Assn",N00030768,5000,"2019-10-16 00:00:00 +0000"
5892,"Caterpillar Inc",N00030768,5000,"2019-10-16 00:00:00 +0000"
5893,E-PAC,N00030768,5000,"2019-10-16 00:00:00 +0000"
5894,"Gibson Group",N00030768,5000,"2019-10-16 00:00:00 +0000"
5895,"International Paper",N00030768,5000,"2019-10-16 00:00:00 +0000"
5896,"Lockheed Martin",N00030768,5000,"2019-10-16 00:00:00 +0000"
5897,"National Beer Wholesalers Assn",N00030768,5000,"2019-10-16 00:00:00 +0000"
5898,"Protective Life Corp",N00030768,5000,"2019-10-16 00:00:00 +0000"
5899,"United Parcel Service",N00030768,5000,"2019-10-16 00:00:00 +0000"
5900,"Value in Electing Women PAC",N00030768,5000,"2019-10-16 00:00:00 +0000"
5901,"Comcast Corp",N00030768,3000,"2019-10-16 00:00:00 +0000"
5902,"Harris Corp",N00030768,3000,"2019-10-16 00:00:00 +0000"
5903,"Stephens Inc",N00030768,2800,"2019-10-16 00:00:00 +0000"
5904,"McKee Foods",N00028463,16500,"2019-10-16 00:00:00 +0000"
5905,"Diverse Concepts",N00028463,4000,"2019-10-16 00:00:00 +0000"
5906,"Kevin McCarthy for Congress",N00028463,4000,"2019-10-16 00:00:00 +0000"
5907,"McKee Baking Co",N00028463,4000,"2019-10-16 00:00:00 +0000"
5908,"Scalise for Congress",N00028463,4000,"2019-10-16 00:00:00 +0000"
5909,"Acadia Healthcare",N00028463,2800,"2019-10-16 00:00:00 +0000"
5910,"Martin Management",N00028463,2800,"2019-10-16 00:00:00 +0000"
5911,"Martin Ventures",N00028463,2800,"2019-10-16 00:00:00 +0000"
5912,"Medquest Pharmacy",N00028463,2800,"2019-10-16 00:00:00 +0000"
5913,"Charles Blalock & Sons",N00028463,2500,"2019-10-16 00:00:00 +0000"
5914,"Blalock & Sons",N00028463,2000,"2019-10-16 00:00:00 +0000"
5915,"Five Oaks Development",N00028463,2000,"2019-10-16 00:00:00 +0000"
5916,"Masengill Marketing",N00028463,2000,"2019-10-16 00:00:00 +0000"
5917,Pcca,N00028463,2000,"2019-10-16 00:00:00 +0000"
5918,"Stowers Machinery",N00028463,2000,"2019-10-16 00:00:00 +0000"
5919,"Charles Blalock & Assoc",N00028463,1500,"2019-10-16 00:00:00 +0000"
5920,"State of Franklin Healthcare",N00028463,1500,"2019-10-16 00:00:00 +0000"
5921,"Tri-Cities Skin & Cancer",N00028463,1500,"2019-10-16 00:00:00 +0000"
5922,"Citizens National Bank",N00028463,1250,"2019-10-16 00:00:00 +0000"
5923,"Venture Resorts",N00028463,1250,"2019-10-16 00:00:00 +0000"
5924,"Bluegrass Cmte",N00003473,10000,"2019-10-16 00:00:00 +0000"
5925,"L3 Technologies",N00003473,10000,"2019-10-16 00:00:00 +0000"
5926,"Lockheed Martin",N00003473,7500,"2019-10-16 00:00:00 +0000"
5927,"Outdoor Venture Corp",N00003473,7000,"2019-10-16 00:00:00 +0000"
5928,"Primary Care Center",N00003473,5400,"2019-10-16 00:00:00 +0000"
5929,"Appalacian Recovery Center",N00003473,5000,"2019-10-16 00:00:00 +0000"
5930,"Marina @ Rowena LLC",N00003473,5000,"2019-10-16 00:00:00 +0000"
5931,"Northrop Grumman",N00003473,5000,"2019-10-16 00:00:00 +0000"
5932,"Holland & Knight",N00003473,4700,"2019-10-16 00:00:00 +0000"
5933,"American Assn of Airport Executives",N00003473,3500,"2019-10-16 00:00:00 +0000"
5934,SAIC,N00003473,3500,"2019-10-16 00:00:00 +0000"
5935,"T-Mobile USA",N00003473,3500,"2019-10-16 00:00:00 +0000"
5936,"United Mine Workers of America",N00003473,3500,"2019-10-16 00:00:00 +0000"
5937,"John Clark Oil",N00003473,3334,"2019-10-16 00:00:00 +0000"
5938,"AT&T Inc",N00003473,3000,"2019-10-16 00:00:00 +0000"
5939,"Cornerstone Government Affairs",N00003473,3000,"2019-10-16 00:00:00 +0000"
5940,"General Dynamics",N00003473,3000,"2019-10-16 00:00:00 +0000"
5941,"Chickasaw Nation",N00003473,2800,"2019-10-16 00:00:00 +0000"
5942,"Progeny Systems                                   ",N00003473,2800,"2019-10-16 00:00:00 +0000"
5943,"Vanantwerp Attorneys",N00003473,2750,"2019-10-16 00:00:00 +0000"
5944,"Leidos Inc",N00024759,14500,"2019-10-16 00:00:00 +0000"
5945,"Conference America",N00024759,11200,"2019-10-16 00:00:00 +0000"
5946,"Blue Cross/Blue Shield of Alabama",N00024759,10000,"2019-10-16 00:00:00 +0000"
5947,"Harris Corp",N00024759,10000,"2019-10-16 00:00:00 +0000"
5948,"Majority Cmte PAC",N00024759,10000,"2019-10-16 00:00:00 +0000"
5949,"Lockheed Martin",N00024759,6500,"2019-10-16 00:00:00 +0000"
5950,"Geeks & Nerds",N00024759,6000,"2019-10-16 00:00:00 +0000"
5951,"Altec Inc",N00024759,5600,"2019-10-16 00:00:00 +0000"
5952,"Jim Wilson & Assoc",N00024759,5600,"2019-10-16 00:00:00 +0000"
5953,"McKinney Capital",N00024759,5600,"2019-10-16 00:00:00 +0000"
5954,"McWane Inc                                        ",N00024759,5600,"2019-10-16 00:00:00 +0000"
5955,"Telspan Inc",N00024759,5600,"2019-10-16 00:00:00 +0000"
5956,"Regions Financial",N00024759,5500,"2019-10-16 00:00:00 +0000"
5957,"Protective Life Corp",N00024759,5300,"2019-10-16 00:00:00 +0000"
5958,"AFLAC Inc",N00024759,5000,"2019-10-16 00:00:00 +0000"
5959,"AGM Consulting Services",N00024759,5000,"2019-10-16 00:00:00 +0000"
5960,"Alabama Power",N00024759,5000,"2019-10-16 00:00:00 +0000"
5961,"American Sugar Cane League",N00024759,5000,"2019-10-16 00:00:00 +0000"
5962,"Balch & Bingham",N00024759,5000,"2019-10-16 00:00:00 +0000"
5963,"Bechtel Group",N00024759,5000,"2019-10-16 00:00:00 +0000"
5964,"Elbit Systems of America",N00024759,5000,"2019-10-16 00:00:00 +0000"
5965,"General Atomics",N00024759,5000,"2019-10-16 00:00:00 +0000"
5966,"Quantum Research International",N00024759,5000,"2019-10-16 00:00:00 +0000"
5967,"Radiance Technologies",N00024759,5000,"2019-10-16 00:00:00 +0000"
5968,"Centaurus Financial",N00007151,21600,"2019-06-10 00:00:00 +0000"
5969,"AT&T Inc",N00007151,12500,"2019-06-10 00:00:00 +0000"
5970,"Inland Group",N00007151,11290,"2019-06-10 00:00:00 +0000"
5971,"ACI Jet",N00007151,10800,"2019-06-10 00:00:00 +0000"
5972,"Aquafor                                           ",N00007151,10800,"2019-06-10 00:00:00 +0000"
5973,"Cdmg Inc",N00007151,10800,"2019-06-10 00:00:00 +0000"
5974,"Clos De La Tech",N00007151,10800,"2019-06-10 00:00:00 +0000"
5975,"Dominion Capital",N00007151,10800,"2019-06-10 00:00:00 +0000"
5976,"DPS Telecom",N00007151,10800,"2019-06-10 00:00:00 +0000"
5977,"Franklin Resources",N00007151,10800,"2019-06-10 00:00:00 +0000"
5978,"FUTEK Advanced Sensor Technology",N00007151,10800,"2019-06-10 00:00:00 +0000"
5979,"Orange County Assoc",N00007151,10800,"2019-06-10 00:00:00 +0000"
5980,"Robert Mayer",N00007151,10800,"2019-06-10 00:00:00 +0000"
5981,"Signal Hill Petroleum",N00007151,10800,"2019-06-10 00:00:00 +0000"
5982,"Western Mutual Insurance",N00007151,10800,"2019-06-10 00:00:00 +0000"
5983,"Pacific Fundraising Strategies",N00007151,10395,"2019-06-10 00:00:00 +0000"
5984,"Albanian American PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5985,"Associated Builders & Contractors",N00007151,10000,"2019-06-10 00:00:00 +0000"
5986,"Eureka PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5987,"Eye of the Tiger PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5988,"General Atomics",N00007151,10000,"2019-06-10 00:00:00 +0000"
5989,"Give Me Liberty PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5990,"Invest in a Strong & Secure America",N00007151,10000,"2019-06-10 00:00:00 +0000"
5991,"Lincoln Club of Orange County",N00007151,10000,"2019-06-10 00:00:00 +0000"
5992,"Majority Cmte PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5993,"Making America Prosperous",N00007151,10000,"2019-06-10 00:00:00 +0000"
5994,"National Cannabis Industry Assn",N00007151,10000,"2019-06-10 00:00:00 +0000"
5995,"New Majority PAC",N00007151,10000,"2019-06-10 00:00:00 +0000"
5996,"Northwest Excavating",N00007151,10000,"2019-06-10 00:00:00 +0000"
5997,"Prosperity Action",N00007151,10000,"2019-06-10 00:00:00 +0000"
5998,"Crown Corr Inc",N00031741,20800,"2019-06-10 00:00:00 +0000"
5999,"Kirkland & Ellis",N00031741,20790,"2019-06-10 00:00:00 +0000"
6000,"Charter Brokerage LLC",N00031741,18000,"2019-06-10 00:00:00 +0000"
6001,"Trinitas Ventures",N00031741,16200,"2019-06-10 00:00:00 +0000"
6002,"Landair Inc",N00031741,10800,"2019-06-10 00:00:00 +0000"
6003,"PJT Partners",N00031741,10800,"2019-06-10 00:00:00 +0000"
6004,"American Suburban Utilities",N00031741,10300,"2019-06-10 00:00:00 +0000"
6005,"Card & Assoc",N00031741,10000,"2019-06-10 00:00:00 +0000"
6006,"First Principles Fund",N00031741,10000,"2019-06-10 00:00:00 +0000"
6007,"Fund for American Exceptionalism",N00031741,10000,"2019-06-10 00:00:00 +0000"
6008,"Investment Co Institute",N00031741,10000,"2019-06-10 00:00:00 +0000"
6009,"National Pork Producers Council",N00031741,10000,"2019-06-10 00:00:00 +0000"
6010,"Thunderbolt PAC",N00031741,10000,"2019-06-10 00:00:00 +0000"
6011,"Heritage Group",N00031741,9600,"2019-06-10 00:00:00 +0000"
6012,"Novogradac & Co",N00031741,8700,"2019-06-10 00:00:00 +0000"
6013,OrthoIndy,N00031741,8350,"2019-06-10 00:00:00 +0000"
6014,"McColly Real Estate",N00031741,8300,"2019-06-10 00:00:00 +0000"
6015,"Central Indiana Orthopedics",N00031741,8200,"2019-06-10 00:00:00 +0000"
6016,"Crosby Tugs",N00031741,8100,"2019-06-10 00:00:00 +0000"
6017,"Headsight Inc",N00031741,8100,"2019-06-10 00:00:00 +0000"
6018,"Prescott Investors",N00031741,8100,"2019-06-10 00:00:00 +0000"
6019,"Rakoczy, Molino et al                   ",N00031741,8100,"2019-06-10 00:00:00 +0000"
6020,"Susquehanna International Group",N00031741,8100,"2019-06-10 00:00:00 +0000"
6021,"White Lodging Services",N00031741,8100,"2019-06-10 00:00:00 +0000"
6022,"Florida Citrus Mutual",N00029018,8000,"2019-06-10 00:00:00 +0000"
6023,"NextEra Energy",N00029018,5500,"2019-06-10 00:00:00 +0000"
6024,"American Hotel & Lodging Assn",N00029018,5000,"2019-06-10 00:00:00 +0000"
6025,"AT&T Inc",N00029018,5000,"2019-06-10 00:00:00 +0000"
6026,"Bloomin' Brands",N00029018,5000,"2019-06-10 00:00:00 +0000"
6027,"Boeing Co",N00029018,5000,"2019-06-10 00:00:00 +0000"
6028,"Bridgepoint Education",N00029018,5000,"2019-06-10 00:00:00 +0000"
6029,"Deloitte LLP",N00029018,5000,"2019-06-10 00:00:00 +0000"
6030,"General Atomics",N00029018,5000,"2019-06-10 00:00:00 +0000"
6031,"Honeywell International",N00029018,5000,"2019-06-10 00:00:00 +0000"
6032,"International Franchise Assn",N00029018,5000,"2019-06-10 00:00:00 +0000"
6033,"KPMG LLP",N00029018,5000,"2019-06-10 00:00:00 +0000"
6034,"Lockheed Martin",N00029018,5000,"2019-06-10 00:00:00 +0000"
6035,"Lowe's Companies",N00029018,5000,"2019-06-10 00:00:00 +0000"
6036,"National Multifamily Housing Council",N00029018,5000,"2019-06-10 00:00:00 +0000"
6037,"National Thoroughbred Racing Assn",N00029018,5000,"2019-06-10 00:00:00 +0000"
6038,"Northrop Grumman",N00029018,5000,"2019-06-10 00:00:00 +0000"
6039,"PNC Financial Services",N00029018,5000,"2019-06-10 00:00:00 +0000"
6040,"Publix Super Markets",N00029018,5000,"2019-06-10 00:00:00 +0000"
6041,"Raytheon Co",N00029018,5000,"2019-06-10 00:00:00 +0000"
